     Time[ps]     Time[ns]  CellLengthX  CellLengthY  CellLengthZ  TotalEnergy         Bond        Angle     Dihedral    Planarity      Coulomb          VdW      SurfVdW      SurfMol      SurfAcc SoluteHBonds SltSlvHBonds    SelHBonds    RecHBonds    SlvHBonds    TotHBonds      HB1Atm1      HB1Atm2         HB1E         HB1D      HB2Atm1      HB2Atm2         HB2E         HB2D      HB3Atm1      HB3Atm2         HB3E         HB3D      HB4Atm1      HB4Atm2         HB4E         HB4D      HB5Atm1      HB5Atm2         HB5E         HB5D      HB6Atm1      HB6Atm2         HB6E         HB6D      HB7Atm1      HB7Atm2         HB7E         HB7D      HB8Atm1      HB8Atm2         HB8E         HB8D      HB9Atm1      HB9Atm2         HB9E         HB9D     HB10Atm1     HB10Atm2        HB10E        HB10D     HB11Atm1     HB11Atm2        HB11E        HB11D     HB12Atm1     HB12Atm2        HB12E        HB12D        Helix        Sheet         Turn         Coil     Helix310      HelixPi  RadGyration       RMSDCa       RMSDBb      RMSDAll  RMSDLigMove  RMSDLigConf
     1000.000        1.000       96.567       96.567       96.567 -1159733.840   105282.011    65942.150   132912.901     1019.095 -1653029.174   188139.177    51002.254    26117.142    23610.454      441.000      854.000        0.000        3.000        2.000        5.000    NE.R120.A     O13.h0.N       25.000        1.789   NH2.R120.A     O14.h0.N       21.875        1.803    OH.Y355.A     O14.h0.N       25.000        1.704            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.828        5.989       18.149       29.583        1.452        0.000       24.514        1.365        1.396        1.630        4.440        1.632
     1100.000        1.100       96.576       96.576       96.576 -1161105.595   106082.961    65656.053   132592.703      998.368 -1653326.213   186890.533    50889.460    25873.925    23441.229      434.000      859.000        0.000        2.000        1.000        3.000    NE.R120.A     O13.h0.N       20.325        1.803    OH.Y355.A     O14.h0.N       25.000        1.778            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.917        5.445       17.060       31.579        0.000        0.000       24.417        1.268        1.299        1.566        2.366        1.685
     1200.000        1.200       96.557       96.557       96.557 -1160683.979   105991.991    65844.628   132425.599     1045.254 -1653267.742   187276.291    51300.822    26004.872    23489.534      421.000      882.000        0.000        2.000        3.000        5.000    NE.R120.A     O13.h0.N       18.175        2.064    OH.Y355.A     O14.h0.N       25.000        1.759            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       42.650        4.900       18.149       33.575        0.726        0.000       24.388        1.107        1.141        1.428        3.994        1.602
     1300.000        1.300       96.562       96.562       96.562 -1160328.015   108044.121    66297.267   132515.946     1126.289 -1652276.315   183964.677    50947.553    25677.050    23473.407      433.000      879.000        0.000        3.000        2.000        5.000    NE.R120.A     O13.h0.N       22.275        1.821   NH2.R120.A     O14.h0.N       14.975        2.053    OH.Y355.A     O14.h0.N       25.000        1.783            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.283        5.445       16.697       31.942        1.633        0.000       24.377        1.161        1.190        1.461        3.683        1.778
     1400.000        1.400       96.553       96.553       96.553 -1160205.452   104530.311    65669.366   132910.372     1002.539 -1650269.721   185951.681    50960.072    26099.288    23399.597      424.000      874.000        0.000        2.000        2.000        4.000    NE.R120.A     O13.h0.N       23.450        1.953   NH2.R120.A     O14.h0.N       11.075        2.048            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       46.098        4.900       14.882       33.212        0.907        0.000       24.227        1.112        1.139        1.484        3.569        1.906
     1500.000        1.500       96.544       96.544       96.544 -1160043.288   104897.481    65150.729   132744.643     1084.082 -1652293.603   188373.380    51003.151    25921.259    23090.439      450.000      849.000        0.000        1.000        3.000        4.000    NE.R120.A     O13.h0.N       21.500        1.907            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.009        5.263       14.882       33.394        1.452        0.000       24.309        1.018        1.047        1.409        3.800        1.657
     1600.000        1.600       96.544       96.544       96.544 -1161060.192   104987.860    65945.522   132735.133     1157.916 -1653117.799   187231.176    50894.337    26075.268    23345.870      436.000      860.000        0.000        2.000        3.000        5.000    NE.R120.A     O13.h0.N       25.000        1.669    OH.Y355.A     O14.h0.N       21.100        1.707            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.283        4.537       16.334       33.394        1.452        0.000       24.294        1.058        1.086        1.438        3.869        1.913
     1700.000        1.700       96.569       96.569       96.569 -1160157.243   105234.465    65767.285   132736.957     1080.650 -1648523.521   183546.921    50783.743    25865.040    23361.289      424.000      871.000        0.000        3.000        3.000        6.000    NE.R120.A     O13.h0.N       25.000        1.741   NH2.R120.A     O14.h0.N        9.925        1.787    OH.Y355.A     O14.h0.N       24.425        1.604            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       43.739        4.900       13.793       35.027        2.541        0.000       24.295        1.008        1.044        1.357        3.877        1.886
     1800.000        1.800       96.572       96.572       96.572 -1161087.955   106694.567    65904.480   132873.896     1098.298 -1653329.509   185670.312    50772.285    26161.190    23421.737      440.000      851.000        0.000        3.000        3.000        6.000    NE.R120.A     O13.h0.N       10.925        2.170   NH2.R120.A     O13.h0.N        9.475        2.124    OH.Y355.A     O14.h0.N       24.425        1.719            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       42.287        4.900       17.060       34.301        1.452        0.000       24.331        1.033        1.068        1.376        3.667        1.787
     1900.000        1.900       96.604       96.604       96.604 -1159540.233   107079.358    65698.622   132612.165     1017.376 -1650724.616   184776.863    51162.386    26210.750    23471.024      427.000      864.000        0.000        3.000        3.000        6.000    NE.R120.A     O13.h0.N       25.000        1.766   NH2.R120.A     O14.h0.N       16.800        1.922    OH.Y355.A     O14.h0.N       25.000        1.684            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.646        5.989       13.793       33.031        2.541        0.000       24.299        1.186        1.216        1.544        3.670        1.867
